20140901,443994550.79,364029233.70
20140902,333327026.31,303960778.20
20140903,365868008.55,378396139.01
20140904,369844974.41,416007801.10
20140905,326823360.69,343779770.20
20140906,138588264.39,150146684.07
20140907,137881207.49,155896960.44
20140908,233655571.97,254860308.96
20140909,226301255.80,218696911.62
20140910,259769001.85,229424880.23
20140911,346224315.95,416305169.90
20140912,269610305.13,325125702.95
20140913,117688707.48,165347841.88
20140914,132278713.33,183126523.82
20140915,377827390.03,382769686.54
20140916,410978761.76,477311408.78
20140917,309007505.70,444229480.96
20140918,336097776.44,378979890.95
20140919,279421094.34,327223673.23
20140920,139223944.83,137035636.22
20140921,141441432.75,185140800.58
20140922,319218404.07,454458821.51
20140923,294526924.00,420468675.74
20140924,292869179.71,452417794.52
20140925,299575405.29,446802621.23
20140926,254129526.33,404068131.29
20140927,117919362.63,194886060.39
20140928,196733726.46,369844990.80
20140929,299434340.25,504159376.69
20140930,290099958.71,495542295.78
